Date,w_eq,w_bd,w_gold,w_copper,ret_strategy,ret_eq,ret_bd,ret_6040,cum_strategy,cum_eq,cum_bd,cum_6040,ERP
2022-03-31,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.16031530928923704
2022-04-30,0.2,0.8,0.0,0.0,-0.04360033908163157,-0.04887038854008807,-0.04228282671701744,0.0,0.9563996609183685,0.9511296114599119,0.9577171732829826,1.0,-0.20849998123209565
2022-05-31,0.2,0.8,0.0,0.0,0.008696160289204658,0.018743907107125368,0.00618422358472448,-0.04623536381085982,0.9647166656702556,0.9689574965439528,0.9636399104134948,0.9537646361891402,-0.22513501666856744
2022-06-30,0.2,0.8,0.0,0.0,0.012326650795987295,0.09617202023096305,-0.008634691562756647,0.013720033698165011,0.9766083911250422,1.0621440965045212,0.9553191770095119,0.9668503191377734,-0.13244424335766805
2022-07-31,0.2,0.8,0.0,0.0,0.009648981322895933,-0.07021381990789632,0.029614681630593997,0.05424933551347517,0.9860316672507912,0.9875669021963175,0.9836106502922496,1.0193013064919891,-0.1250325742592961
2022-08-31,0.2,0.8,0.0,0.0,-0.03520758185739717,-0.021884369110687918,-0.038538385044074475,-0.030282419292500196,0.9513158766120732,0.9659546235871547,0.9457038843178344,0.9884343969434055,-0.14013722369330087
2022-09-30,0.2,0.8,0.0,0.0,-0.051312508867822376,-0.06716374984295437,-0.04734969862403937,-0.028545975484042543,0.902501472257316,0.9010774888889018,0.9009250904078016,0.9602185728806747,-0.20441588733619565
2022-10-31,0.2,0.8,0.0,0.0,-0.02720116594872868,-0.0778445499787005,-0.014540319941235724,-0.05923812935538837,0.8779523799414728,0.8309335172704078,0.8878253513501854,0.9033370208509228,-0.27066419771829503
2022-11-30,0.2,0.8,0.0,0.0,0.048526137512031255,0.09813893826276554,0.03612293732434768,-0.052522857963714586,0.9205560178595278,0.9124804504222709,0.919896210871975,0.8558911788114048,-0.19015048577500646
2022-12-31,0.2,0.8,0.0,0.0,-0.010939728105933534,0.004824721145260558,-0.014880840418732055,0.0733325378873984,0.9104853853178636,0.91688291414606,0.9062073821561929,0.9186558511090821,-0.20307084445319018
