Date,w_eq,w_bd,w_gold,w_copper,ret_strategy,ret_eq,ret_bd,ret_6040,cum_strategy,cum_eq,cum_bd,cum_6040,ERP
2022-03-31,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.1603153164649739
2022-04-30,0.2,0.8,0.0,0.0,-0.043600396943522225,-0.04887038854008807,-0.04228289904438076,0.0,0.9563996030564778,0.9511296114599119,0.9577171009556192,1.0,-0.20849995715692293
2022-05-31,0.2,0.8,0.0,0.0,0.008695895890640992,0.018743907107125368,0.006183893086519898,-0.046235392741805145,0.9647163544345072,0.9689574965439528,0.9636395211150606,0.9537646072581949,-0.22513499648015858
2022-06-30,0.2,0.8,0.0,0.0,0.012327108240825037,0.09617202023096305,-0.008634119756709469,0.01371990149888318,0.9766085173573155,1.0621440965045212,0.955319342087455,0.9668501637228983,-0.13244428951751414
2022-07-31,0.2,0.8,0.0,0.0,0.00964877499552368,-0.07021381990789632,0.02961442372137868,0.05424956423589404,0.9860315932000081,0.9875669021963175,0.9836105738732616,1.0193013637862682,-0.12503256771086932
2022-08-31,0.2,0.8,0.0,0.0,-0.035207643641135024,-0.021884369110687918,-0.0385384622737468,-0.03028252245618632,0.9513157442477216,0.9659546235871547,0.9457037348799884,0.9884343473477892,-0.14013721066134754
2022-09-30,0.2,0.8,0.0,0.0,-0.051312508867822376,-0.06716374984295437,-0.04734969862403937,-0.02854600637591147,0.9025013466849113,0.9010774888889018,0.9009249480457925,0.9602184941662294,-0.204415904475559
2022-10-31,0.2,0.8,0.0,0.0,-0.027200885316984526,-0.0778445499787005,-0.014539969151555532,-0.05923812935538837,0.877952511055311,0.8309335172704078,0.8878255270933398,0.903336946799374,-0.27066421948565217
2022-11-30,0.2,0.8,0.0,0.0,0.04852555768056841,0.09813893826276554,0.03612221253501913,-0.052522717647842505,0.9205556462713254,0.9124804504222709,0.9198957494770208,0.8558912354017664,-0.19015045960911697
2022-12-31,0.2,0.8,0.0,0.0,-0.010939388640424142,0.004824721145260558,-0.014880416086845316,0.07333224797166697,0.9104853302916266,0.91688291414606,0.9062073179682824,0.9186556637130251,-0.20307084754831403
2023-01-31,0.2,0.8,0.0,0.0,0.04338333645600426,0.07367180983259392,0.035811218111856835,-0.0030573337475817922,0.9499852217139245,0.9844313378357831,0.9386597058866053,0.9158470267499481,-0.08064898698799511
2023-02-28,0.2,0.8,0.0,0.0,-0.030371382946428386,-0.02102546278160078,-0.03270786298763528,0.058527573144299086,0.9211328567518032,0.9637332133810753,0.9079581528344521,0.9694493305970446,-0.10080736050632438
2023-03-31,0.2,0.8,0.0,0.0,0.028857926262993484,-0.004553436936287292,0.03721076706281368,-0.02569842286401458,0.9477148408103674,0.9593449149705391,0.9417439721623575,0.9445360117541259,-0.03615584224551722
2023-04-30,0.8,0.2,0.0,0.0,0.005439737603201355,-0.005391316097426269,0.008147501028358262,0.012152244663353096,0.9528701608670356,0.9541727832874743,0.9494168321440005,0.9560142444623098,0.0034962437571135854
2023-05-31,0.2,0.8,0.0,0.0,-0.048653716230469504,-0.05722136854696791,-0.014383106964475867,2.4210752887543745e-05,0.9065094864557289,0.8995737107974956,0.9357612682933996,0.9560373902869395,-0.06959600884420337
2023-06-30,0.2,0.8,0.0,0.0,-0.007730279223068726,0.011559681261175347,-0.012552769344129744,-0.04008606391397109,0.8995019150070656,0.9099724961652473,0.9240148729313422,0.917713614355751,-0.1409311397853462
